PremiereDate;Title;Studio;KidsMovie;Rating;Genre;Copies;VisitorsOnPremiereWeekend;VisitorsOverall;ExpertsForacast
20.11.14;Die Tribute von Panem - Mockingjay Teil 1;Studiocanal;yes;12;TeenagerMovie;692;1184154;3938535;1212500
20.11.14;Ein Schotte macht noch keinen Sommer;Tobis;no;6;DramaArthouse;59;9926;40613;7685
20.11.14;My Old Lady;Ascot Elite;no;12;DramaArthouse;79;13287;58860;13930
27.11.14;Auf das Leben!;Camino;no;12;DramaArthouse;38;2549;16062;3895
27.11.14;Das Verschwinden der Eleanor Rigby;Prokino;no;6;DramaArthouse;96;5791;16174;14111
27.11.14;Der Koch;Senator;no;12;DramaArthouse;48;4957;22547;10460
27.11.14;Die Pinguine aus Madagascar;20th Century Fox;yes;0;Animation;676;379428;1617791;372000
27.11.14;Kill the Boss 2;Warner Bros.;no;12;Comedy;425;99822;380056;161113
27.11.14;The Zero Theorem;Concorde;no;12;DramaArthouse;49;5290;22067;11688
04.12.14;Alles ist Liebe;Universal Pictures;no;0;Comedy;527;85098;443709;
04.12.14;Dritte Person;Sony Pictures Releasing;no;12;DramaArthouse;101;1627;11124;
04.12.14;Magic in the Moonlight;Warner Bros.;no;0;DramaArthouse;151;40696;213522;
04.12.14;Paddington;Studiocanal;yes;0;Family;537;278014;1963172;
04.12.14;The Drop - Bargeld;20th Century Fox;no;12;Thriller;57;6057;30752;
10.12.14;Der Hobbit: Die Schlacht der fünf Heere;Warner Bros.;no;12;Fantasy;930;1277623;6062095;1250000
11.12.14;#Zeitgeist;Paramount Pictures;no;12;DramaArthouse;116;8826;24122;13325
11.12.14;The Loft;Universum Film;no;16;Thriller;86;19773;181284;7307
18.12.14;Der kleine Drache Kokosnuss;Universum Film;yes;0;Animation;458;108415;797796;100000
18.12.14;Die Wolken von Sils Maria;NFP;no;6;DramaArthouse;51;13879;88814;5338
18.12.14;Nachts im Museum - Das geheimnisvolle Grabmal;20th Century Fox;yes;6;Comedy;579;231219;1098038;215540
18.12.14;Serena;Studiocanal;no;12;DramaArthouse;86;7630;27958;13806
18.12.14;The Homesman;Universum Film;no;16;ActionAdventure;73;13278;76212;8240
25.12.14;Bibi & Tina - Voll verhext!;DCM;yes;0;Family;609;188950;1290125;
25.12.14;Die Entdeckung der Unendlichkeit;Universal Pictures;no;0;DramaArthouse;248;79876;547510;
25.12.14;Exodus: Götter und Könige;20th Century Fox;no;12;ActionAdventure;486;246493;696938;
25.12.14;Honig im Kopf;Warner Bros.;no;6;Comedy;611;678354;7236063;
01.01.15;Die Sprache des Herzens;Concorde;no;6;DramaArthouse;68;10089;45208;
01.01.15;Eine Taube sitzt auf einem Zweig und denkt über das Leben nach;Neue Visionen;no;12;DramaArthouse;71;25563;114207;
01.01.15;Herz aus Stahl;Sony Pictures Releasing;no;16;ActionAdventure;296;155324;363343;
08.01.15;96 Hours - Taken 3;Universum Film;no;16;ActionAdventure;443;389224;1117996;311375
08.01.15;Let's Be Cops - Die Party Bullen;20th Century Fox;no;12;Comedy;359;206588;699094;150683
08.01.15;St. Vincent;polyband;no;6;DramaArthouse;163;28824;93037;41950
08.01.15;The Best of Me - Mein Weg zu dir;Senator;no;12;DramaArthouse;214;48171;136431;57750
08.01.15;Wild Tales - Jeder dreht mal durch!;Prokino;no;12;Comedy;91;31546;186202;9340
15.01.15;Annie;Sony Pictures Releasing;yes;0;Family;403;63012;187773;57019
15.01.15;BROs BEFORE HOs;Wild Bunch;no;16;Comedy;70;4847;4969;2885
15.01.15;Der große Trip - Wild;20th Century Fox;no;12;DramaArthouse;109;46039;253183;34663
15.01.15;Doktor Proktors Pupspulver;Senator;yes;0;Family;151;13093;51595;14165
15.01.15;Frau Müller muss weg;Constantin Film;no;6;Comedy;167;116376;1092688;64103
15.01.15;Schändung;NFP (Warner);no;16;DramaArthouse;100;23273;62037;35825
15.01.15;The Gambler;Paramount Pictures;no;12;Thriller;162;26063;59109;31143
15.01.15;Unbroken;Universal Pictures;no;12;DramaArthouse;363;62650;120145;68675
22.01.15;3 Türken & ein Baby;Wild Bunch;no;12;Comedy;188;50701;205051;49990
22.01.15;Baymax - Riesiges Robowabohu;Walt Disney;no;6;Animation;580;373726;1609693;313450
22.01.15;Fräulein Julie;Alamode Film;no;12;DramaArthouse;45;2320;5851;6878
22.01.15;Mortdecai - Der Teilzeitgauner;Studiocanal;no;6;Comedy;487;125035;321162;178613
22.01.15;Ouija - Spiel nicht mit dem Teufel;Universal Pictures;no;16;Horror;259;122166;341328;60375
22.01.15;The Imitation Game;DCM;no;12;DramaArthouse;170;96556;643294;91325
29.01.15;Birdman oder (die unverhoffte Macht der Ahnungslosigkeit);20th Century Fox;no;12;DramaArthouse;116;66234;516768;68546
29.01.15;Black Sea;Sony Pictures Releasing;no;12;Thriller;109;2107;17487;7050
29.01.15;Da muss Mann durch;Warner Bros.;no;0;Comedy;329;47304;113673;99200
29.01.15;Fünf Freunde 4;Constantin Film;yes;6;Family;560;173706;1023587;231875
29.01.15;John Wick;Studiocanal;no;16;ActionAdventure;304;141537;427555;108300
05.02.15;300 Worte Deutsch;DCM;no;12;Comedy;140;20907;65000;30938
05.02.15;Blackhat;Universal Pictures;no;16;ActionAdventure;345;51815;121406;67050
05.02.15;Foxcatcher;Studiocanal;no;12;DramaArthouse;72;6879;25829;12940
05.02.15;Guten Tag, Ramón;20th Century Fox;no;6;DramaArthouse;52;1596;4835;4505
05.02.15;Jupiter Ascending;Warner Bros.;no;12;ActionAdventure;452;153841;440671;239050
05.02.15;The Interview;Sony Pictures Releasing;no;12;Comedy;356;91746;213895;159800
12.02.15;Fifty Shades of Grey;Universal Pictures;no;16;DramaArthouse;739;1353030;4400588;1154197
12.02.15;Inherent Vice - Natürliche Mängel;Warner Bros.;no;16;Comedy;58;16609;86548;12895
12.02.15;Manolo und das Buch des Lebens;20th Century Fox;yes;6;Animation;52;1427;2882;4055
12.02.15;Sehnsucht nach Paris;Wild Bunch;no;0;DramaArthouse;52;12425;52192;7395
12.02.15;Wild Card;Universum Film;no;16;ActionAdventure;229;48274;118855;54423
19.02.15;Die Frau in Schwarz 2: Engel des Todes;Concorde;no;12;Horror;160;23876;65390;35775
19.02.15;Into the Woods;Walt Disney;yes;6;Family;301;100463;273726;111500
19.02.15;Selma;Studiocanal;no;12;DramaArthouse;110;31052;151694;39375
19.02.15;SpongeBob Schwammkopf 3D;Paramount Pictures;yes;0;Animation;503;484438;1231606;190750
19.02.15;Traumfrauen;Warner Bros.;no;12;Comedy;597;379905;1699157;218500
19.02.15;Whiplash;Sony Pictures Releasing;no;12;DramaArthouse;102;11848;67944;17800
26.02.15;Als wir träumten;Pandora;no;12;DramaArthouse;74;18966;90549;20632
26.02.15;American Sniper;Warner Bros.;no;16;ActionAdventure;333;339426;1221083;278600
26.02.15;Asterix im Land der Götter;Universum Film;yes;0;Animation;435;151454;511519;121240
26.02.15;Heute bin ich Samba;Senator;no;6;DramaArthouse;155;65145;335444;65158
